n,N,r,R-mean,R-var,RT-mean,RT-var
2.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+04,1.998099999999999987e+00,1.989496389999999781e+00,1.999999999999999778e+00,2.000000000000000000e+00
3.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+04,3.353699999999999903e+00,2.526796309999999934e+00,3.333333333333333481e+00,2.444444444444441089e+00
4.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+04,4.461100000000000065e+00,2.471286789999999733e+00,4.476190476190475387e+00,2.607709750566897355e+00
5.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+04,5.524300000000000210e+00,2.578009509999999782e+00,5.542857142857141817e+00,2.678820861678008924e+00
6.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000000e+04,6.559000000000000163e+00,2.733919000000000210e+00,6.575115207373271708e+00,2.712119508920444844e+00
7.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+04,7.607800000000000118e+00,2.774179160000000532e+00,7.590988223246284861e+00,2.728244477426400749e+00
8.000000000000000000e+00,1.600000000000000000e+01,1.000000000000000000e+04,8.593099999999999739e+00,2.636732390000000148e+00,8.598862238994316343e+00,2.736180493298462579e+00
9.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000000e+04,9.584600000000000009e+00,2.717642840000000337e+00,9.602783807621769085e+00,2.740117440626377743e+00
1.000000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+04,1.060200000000000031e+01,2.724995999999999974e+00,1.060474075478419564e+01,2.742078217431000553e+00
