n,N,log2_H,log2_phi1,log2_all_qc0,log2_approx_qc0
2.000000000000000000e+00,4.000000000000000000e+00,7.209453365628950117e+00,6.643856189774724363e+00,7.954196310386874913e+00,7.584962500721156076e+00
3.000000000000000000e+00,6.000000000000000000e+00,9.098032082960527234e+00,8.339850002884624303e+00,9.768184324776926886e+00,9.584962500721156076e+00
4.000000000000000000e+00,8.000000000000000000e+00,1.104712391211402611e+01,1.017492568250067819e+01,1.167595703294174925e+01,1.158496250072115608e+01
5.000000000000000000e+00,1.000000000000000000e+01,1.302306124973533485e+01,1.208878823871690678e+01,1.363026712502676929e+01,1.358496250072115608e+01
6.000000000000000000e+00,1.200000000000000000e+01,1.501140198988006347e+01,1.404473562605690873e+01,1.560756149635420620e+01,1.558496250072115608e+01
7.000000000000000000e+00,1.400000000000000000e+01,1.700566840477246444e+01,1.602245451084650796e+01,1.759624800331485162e+01,1.758496250072115785e+01
8.000000000000000000e+00,1.600000000000000000e+01,1.900282600099896158e+01,1.801124909838775778e+01,1.959060166858935759e+01,1.958496250072115785e+01
9.000000000000000000e+00,1.800000000000000000e+01,2.100141094342799519e+01,2.000563003121410688e+01,2.158778117813480790e+01,2.158496250072115785e+01
1.000000000000000000e+01,2.000000000000000000e+01,2.300070495660594716e+01,2.200281638878561807e+01,2.358637161145960803e+01,2.358496250072115785e+01
